"id","filename","ident","name","type","frequency_khz","latitude_deg","longitude_deg","elevation_ft","iso_country","dme_frequency_khz","dme_channel","dme_latitude_deg","dme_longitude_deg","dme_elevation_ft","slaved_variation_deg","magnetic_variation_deg","usageType","power","associated_airport",
113,"Baneasa_East_NDB_RO","A","Baneasa East","NDB",434,44.5103,26.1369,,"RO",,,,,,,4.204,"BOTH","HIGH",
110,"Budapest_NDB_HU","A","Budapest","NDB",343,47.455,19.2105,,"HU",,,,,,,3.234,"TERMINAL","LOW",
108,"Habana_NDB_CU","A","Habana","NDB",339,22.9738,-82.4322,233,"CU",,,,,,,-3.315,"TERMINAL","MEDIUM",
115,"Kharkiv_NDB_UA","A","Kharkiv","NDB",678,49.9243,36.3197,,"UA",,,,,,,7.162,"BOTH","HIGH","UKHH"
105,"Ministro_Pistarini_NDB_AR","A","Ministro Pistarini","NDB",237,-34.8416,-58.5224,66,"AR",,,,,,,-6.499,"TERMINAL","LOW",
111,"Opera_NDB_HU","A","Opera","NDB",422,47.1067,20.2267,322,"HU",,,,,,,3.342,"TERMINAL","LOW","LHSN"
106,"Reconquista_NDB_AR","A","Reconquista","NDB",242,-29.211,-59.7076,,"AR",,,,,,,-8.35,"TERMINAL","LOW",
104,"Rinas_NDB_AL","A","Rinas","NDB",598,41.4375,19.7208,,"AL",,,,,,,3.004,"TERMINAL","HIGH",
114,"Sheremetyevo_NDB_RU","A","Sheremetyevo","NDB",338,55.98,37.4617,,"RU",,,,,,,9.43,"TERMINAL","LOW","UUEE"
107,"Tartagal_NDB_AR","A","Tartagal","NDB",415,-22.6359,-63.7957,1473,"AR",,,,,,,-7.328,"TERMINAL","LOW",
116,"Zaporizhzhia_NDB_UA","A","Zaporizhzhia","NDB",608,47.847,35.3028,,"UA",,,,,,,6.296,"TERMINAL","LOW",
117,"Taltheilei_Narrows_NDB_CA","A1","Taltheilei Narrows","NDB",264,62.5947,-111.519,570,"CA",,,,,,,19.032,"LO","MEDIUM","CFA7"
118,"Chinchaga_NDB_CA","A5","Chinchaga","NDB",317,57.545,-119.111,2280,"CA",,,,,,,20.491,"LO","LOW","CED2"
119,"Liverpool_NDB_CA","A9","Liverpool","NDB",330,44.227,-64.8585,314,"CA",,,,,,,-18.25,"LO","LOW","CYAU"
123,"Aasiaat_NDB_GL","AA","Aasiaat","NDB",336,68.7232,-52.7848,,"GL",,,,,,,-36.533,"LO","LOW","BGAA"
126,"Abemama_NDB_KI","AA","Abemama","NDB",396,0.5,173.85,108,"KI",,,,,,,9.26,"BOTH","LOW","NGTB"
122,"Accra_NDB_GH","AA","Accra","NDB",409,5.67617,-0.138033,,"GH",,,,,,,-4.416,"TERMINAL","MEDIUM","DGAA"
127,"Aioun_El_Atrouss_NDB_MR","AA","Aioun El Atrouss","NDB",310,16.6921,-9.60038,,"MR",,,,,,,-5.157,"BOTH","LOW","GQNA"
125,"Aliabad_NDB_IR","AA","Aliabad","NDB",397,35.6337,51.4178,3603,"IR",,,,,,,4.015,"BOTH","LOW",
121,"Anaa_NDB_PF","AA","Anaa","NDB",333,-17.3556,-145.482,,"PF",,,,,,,12.445,"TERMINAL","MEDIUM","NTGA"
124,"Atambua_NDB_ID","AA","Atambua","NDB",300,-9.07444,124.905,1434,"ID",,,,,,,2.218,"BOTH","MEDIUM",
120,"Auckland_VOR-DME_NZ","AA","Auckland","VOR-DME",114800,-37.0046,174.814,13,"NZ",114800,"095X",,,,19.011,19.282,"BOTH","HIGH","NZAA"
130,"Cedar_NDB_US","AA","Cedar","NDB",341,33.533,-82.6144,517,"US",,,,,,,-5.217,"TERMINAL","LOW",
129,"Kenie_NDB_US","AA","Kenie","NDB",365,47.0093,-96.8152,887,"US",,,,,,,4.089,"TERMINAL","MEDIUM","KFAR"
128,"Madrid_NDB_ES","AA","Madrid","NDB",355,40.4482,-3.53881,,"ES",,,,,,,-2.13,"TERMINAL","LOW",
131,"Abraham_NDB_US","AAA","Abraham","NDB",329,40.1601,-89.3378,593,"US",,,,,,,-1.206,"TERMINAL","LOW",
132,"Ahmedabad_VOR-DME_IN","AAE","Ahmedabad","VOR-DME",113100,23.0722,72.625,184,"IN",113100,"078X",,,,0.011,-0.099,"BOTH","HIGH","VAAH"
133,"Apalachicola_NDB_US","AAF","Apalachicola","NDB",349,29.7233,-85.0281,19,"US",,,,,,,-2.557,"TERMINAL","LOW",
134,"Aalborg_TACAN_DK","AAL","Aalborg","TACAN",116700,57.1039,9.99281,57,"DK",116700,"114X",,,,1.008,0.598,"BOTH","HIGH","EKYT"
135,"Aalborg_VOR-DME_DK","AAL","Aalborg","VOR-DME",116700,57.1037,9.99558,57,"DK",116700,"114X",57.1039,9.99281,57,1.008,0.589,"RNAV","HIGH","EKYT"
136,"Araraquara_NDB_BR","AAQ","Araraquara","NDB",205,-21.813,-48.1395,2514,"BR",,,,,,,-19.255,"BOTH","MEDIUM","SBAQ"
138,"Amritsar_VOR-DME_IN","AAR","Amritsar","VOR-DME",115500,31.7069,74.8008,752,"IN",115500,"102X",,,,2.011,1.28,"BOTH","HIGH","VIAR"
137,"Arar_VORTAC_SA","AAR","Arar","VORTAC",113300,30.908,41.1422,1811,"SA",113300,"080X",,,,2.007,3.355,"BOTH","HIGH","OERR"
139,"Agartala_VOR-DME_IN","AAT","Agartala","VOR-DME",116100,23.8896,91.2397,47,"IN",116100,"108X",,,,0.011,-0.302,"BOTH","HIGH","VEAT"
141,"Ashland_NDB_US","AAU","Ashland","NDB",329,40.9633,-82.2534,1256,"US",,,,,,,-7.232,"TERMINAL","LOW",
140,"Aurangabad_VOR-DME_IN","AAU","Aurangabad","VOR-DME",116300,19.8647,75.3941,1908,"IN",116300,"110X",,,,-1.011,-0.464,"BOTH","HIGH","VAAU"
146,"Abakan_NDB_RU","AB","Abakan","NDB",360,53.6983,91.35,,"RU",,,,,,,4.193,"TERMINAL","HIGH","UNAA"
147,"Abqaiq_NDB_SA","AB","Abqaiq","NDB",290,25.9,49.5833,229,"SA",,,,,,,2.157,"BOTH","LOW","OEBQ"
142,"Addis_Abeba_NDB_ET","AB","Addis Abeba","NDB",333,8.99737,38.8202,,"ET",,,,,,,1.393,"BOTH","MEDIUM","HAAB"
143,"Akraberg_NDB_FO","AB","Akraberg","NDB",381,61.3953,-6.68111,,"FO",,,,,,,-7.299,"BOTH","HIGH",
